combo,cone,cone_label,n_sne,gaussian_nsigma,kde_nsigma,lnB,cone_logz,cone_logz_err,ref_logz,ref_logz_err,cone_Om0,cone_Om0_err,ref_Om0,ref_Om0_err,delta_Om0,delta_Om0_var_negative,delta_Om0_err,delta_Om0_nsigma,delta_Om0_nsigma_quad,cone_alpha,cone_alpha_err,ref_alpha,ref_alpha_err,delta_alpha,delta_alpha_var_negative,delta_alpha_err,delta_alpha_nsigma,delta_alpha_nsigma_quad,cone_beta,cone_beta_err,ref_beta,ref_beta_err,delta_beta,delta_beta_var_negative,delta_beta_err,delta_beta_nsigma,delta_beta_nsigma_quad,cone_gamma,cone_gamma_err,ref_gamma,ref_gamma_err,delta_gamma,delta_gamma_var_negative,delta_gamma_err,delta_gamma_nsigma,delta_gamma_nsigma_quad,cone_zeta,cone_zeta_err,ref_zeta,ref_zeta_err,delta_zeta,delta_zeta_var_negative,delta_zeta_err,delta_zeta_nsigma,delta_zeta_nsigma_quad,cone_sn_tau,cone_sn_tau_err,ref_sn_tau,ref_sn_tau_err,delta_sn_tau,delta_sn_tau_var_negative,delta_sn_tau_err,delta_sn_tau_nsigma,delta_sn_tau_nsigma_quad,cone_gamma_alpha,cone_gamma_alpha_err,ref_gamma_alpha,ref_gamma_alpha_err,delta_gamma_alpha,delta_gamma_alpha_var_negative,delta_gamma_alpha_err,delta_gamma_alpha_nsigma,delta_gamma_alpha_nsigma_quad
mass_step,0,"c00 (RA 53.5, Dec -28.2, N=580)",580.0,0.351,0.316,-270.194,-186.97612155813135,0.04818441331489185,-457.17000072611285,0.060675173135668656,0.4173759605859601,0.04384997019757681,0.3552566893885609,0.01906665821193286,0.062119271197399184,False,0.0394877503911999,1.573127630264875,1.2991350426855077,0.16764649931126732,0.010365758925766891,0.17257471799670313,0.0053017361050058665,-0.0049282186854358034,False,0.008907331383753115,-0.5532766743611701,-0.42328064834037327,3.1094661807058914,0.09419565407409423,3.093843036899744,0.055346871595801726,0.015623143806147599,False,0.07622037162730355,0.204973335508523,0.1430004000899107,0.06438680970232663,0.02458658451400817,0.06146653488228634,0.01279759671076615,0.002920274820040293,False,0.02099337172759664,0.1391046115856403,0.10535723151064998,,,,,,,,,,,,,,,,,,,,,,,,,,,
mass_step,1,"c01 (RA 35.8, Dec -5.0, N=520)",520.0,1.03,1.154,-207.333,-249.83686747649344,0.046714095057357324,-457.17000072611285,0.060675173135668656,0.41595369670383137,0.04578617554131181,0.3552566893885609,0.01906665821193286,0.060697007315270446,False,0.04162735176934936,1.4581039805650635,1.2237918384354904,0.1750500997042386,0.010742400499921945,0.17257471799670313,0.0053017361050058665,0.0024753817075354734,False,0.009342952572586488,0.2649464062140896,0.20663541918280745,3.0823955233765687,0.11368089417472281,3.093843036899744,0.055346871595801726,-0.011447513523175079,False,0.09929788268096336,-0.11528456815091497,-0.09053839961693042,0.10815304277914486,0.025392156330844348,0.06146653488228634,0.01279759671076615,0.04668650789685853,False,0.021931327400744032,2.1287588773707635,1.6418769750119353,,,,,,,,,,,,,,,,,,,,,,,,,,,
mass_step,2,"c02 (RA 8.8, Dec -43.6, N=283)",283.0,0.731,0.671,-379.949,-77.22061129049281,0.04078165563356329,-457.17000072611285,0.060675173135668656,0.3557212058278319,0.06841198449718745,0.3552566893885609,0.01906665821193286,0.00046451643927097885,False,0.0657013102416744,0.007070124439867497,0.006540709618340588,0.19490007798648262,0.014584787213395121,0.17257471799670313,0.0053017361050058665,0.022325359989779497,False,0.013587038394473281,1.643136593980676,1.4386269958041655,3.2135095410531007,0.1420263775506419,3.093843036899744,0.055346871595801726,0.11966650415335689,False,0.13079837814252634,0.9148928744587379,0.7850610535629066,0.044478274055583876,0.034640730925120204,0.06146653488228634,0.01279759671076615,-0.01698826082670246,False,0.032190087875853444,-0.5277481966567033,-0.4600236398085152,,,,,,,,,,,,,,,,,,,,,,,,,,,
mass_step,3,"c03 (RA 41.7, Dec -0.7, N=240)",240.0,0.658,0.873,-378.481,-78.68910611414466,0.039867904551464946,-457.17000072611285,0.060675173135668656,0.382766338750292,0.06626940110194882,0.3552566893885609,0.01906665821193286,0.02750964936173106,False,0.06346728343832204,0.4334461453429802,0.3989348586717629,0.18323746741058228,0.01481250395091672,0.17257471799670313,0.0053017361050058665,0.010662749413879152,False,0.013831191834719113,0.7709205064391831,0.6777432698780148,3.0134427195735514,0.15674709331739606,3.093843036899744,0.055346871595801726,-0.08040031732619246,False,0.14665052017640548,-0.5482443378276406,-0.48366461376768705,0.01539677938518266,0.03453087117148123,0.06146653488228634,0.01279759671076615,-0.04606975549710368,False,0.032071834719735334,-1.4364552542656612,-1.2510092324370414,,,,,,,,,,,,,,,,,,,,,,,,,,,
mass_linear,0,"c00 (RA 53.5, Dec -28.2, N=580)",580.0,0.284,0.322,-265.464,-182.77482136324633,0.046888587038296854,-448.23921641176275,0.0593936785169931,0.39491075945516746,0.046848525373085294,0.3447201315007971,0.018822263947083605,0.05019062795437035,False,0.04290112713599648,1.1699139697487706,0.9941054030328813,0.17161353324118447,0.010392954724920902,0.17522289303973357,0.005245553653906472,-0.0036093597985490944,False,0.008972049641985056,-0.40228932546906054,-0.3100369910972449,3.1249050540558665,0.0946368980817945,3.0971161271910237,0.05476267843733193,0.0277889268648428,False,0.07718284478375581,0.3600401999006308,0.25415302816412916,0.11516026266777468,0.029833941752595374,0.10142012508986954,0.015667242611613768,0.01374013757790514,False,0.025389005286660746,0.5411845569674263,0.4077485550032527,,,,,,,,,,,,,,,,,,,,,,,,,,,
mass_linear,1,"c01 (RA 35.8, Dec -5.0, N=520)",520.0,1.022,1.081,-201.884,-246.35486657939282,0.04497379863126504,-448.23921641176275,0.0593936785169931,0.3981465058939406,0.04898115985069431,0.3447201315007971,0.018822263947083605,0.053426374393143516,False,0.04522030959895768,1.1814685672646297,1.0181659143539976,0.1777053545211922,0.010767206188729823,0.17522289303973357,0.005245553653906472,0.002482461481458642,False,0.009403025894604898,0.2640066622472012,0.20726903179280148,3.0676217389191214,0.11407058088661218,3.0971161271910237,0.05476267843733193,-0.029494388271902316,False,0.10006571078135863,-0.2947502000595079,-0.23309314858988855,0.16416476749830147,0.032935581503328405,0.10142012508986954,0.015667242611613768,0.06274464240843193,False,0.028970502893654125,2.1658112956739837,1.720345694415032,,,,,,,,,,,,,,,,,,,,,,,,,,,
mass_linear,2,"c02 (RA 8.8, Dec -43.6, N=283)",283.0,0.679,0.759,-372.411,-75.82810101401195,0.03935067450145889,-448.23921641176275,0.0593936785169931,0.34692465955339463,0.06804902542876379,0.3447201315007971,0.018822263947083605,0.002204528052597521,False,0.06539413002487958,0.033711405775392916,0.031223769768607825,0.19752693494524245,0.014193773415481654,0.17522289303973357,0.005245553653906472,0.022304041905508887,False,0.013188910896431979,1.691120827235465,1.473960041740721,3.2126525144677047,0.14116057371339705,3.0971161271910237,0.05476267843733193,0.11553638727668103,False,0.13010517522936887,0.888022994265956,0.7630652259112987,0.08437779635911484,0.0425083822256508,0.10142012508986954,0.015667242611613768,-0.017042328730754702,False,0.03951582048231896,-0.4312786251870983,-0.3761796385580606,,,,,,,,,,,,,,,,,,,,,,,,,,,
mass_linear,3,"c03 (RA 41.7, Dec -0.7, N=240)",240.0,1.434,1.484,-369.89,-78.34945417270023,0.03723937871854198,-448.23921641176275,0.0593936785169931,0.3846648542086267,0.06639688818939567,0.3447201315007971,0.018822263947083605,0.039944722707829616,False,0.06367314301290165,0.6273402068394188,0.5787981397080316,0.1801037220847754,0.014720865986813172,0.17522289303973357,0.005245553653906472,0.004880829045041835,False,0.013754565142733571,0.3548515706889024,0.3123224654776808,3.0132308053596266,0.15442639163900065,3.0971161271910237,0.05476267843733193,-0.08388532183139707,False,0.14439030260031796,-0.5809622967797032,-0.5119675679367869,-0.008105395216261056,0.045644949015771465,0.10142012508986954,0.015667242611613768,-0.1095255203061306,False,0.04287188915363085,-2.554716446332639,-2.2695391546014987,,,,,,,,,,,,,,,,,,,,,,,,,,,
mass_linear_ssfr_tanh,0,"c00 (RA 53.5, Dec -28.2, N=580)",580.0,0.101,0.114,-255.548,-184.80211883028068,0.05233047282242622,-440.3498536279289,0.06425819910002192,0.39227341923159736,0.04675696073348711,0.36209207568652935,0.019704947014572084,0.030181343545068018,False,0.04240198627642062,0.7117907955611883,0.5948291769622044,0.1733978959856497,0.010301236205755803,0.17587370595358928,0.005294471292293427,-0.002475809967939585,False,0.00883651747589824,-0.28017937775740287,-0.21376027373153128,3.1062326135390865,0.09476350127614007,3.054890236052417,0.05599932988420328,0.05134237748666948,False,0.07644734283566158,0.6716044741677928,0.4664397098548081,0.08558488091901464,0.03784881626274906,0.05751839402253175,0.018328660695588778,0.028066486896482896,False,0.033114846966237316,0.8475499501809101,0.6674041082320653,-0.0636330848462583,0.049273619847144276,-0.1108252054617581,0.02294816100059604,0.047192120615499794,False,0.043603572325345244,1.0822994103184673,0.8682142899355934,,,,,,,,,,,,,,,,,,
mass_linear_ssfr_tanh,1,"c01 (RA 35.8, Dec -5.0, N=520)",520.0,0.923,0.92,-199.587,-240.76314102381258,0.05166899111890293,-440.3498536279289,0.06425819910002192,0.41366751749244907,0.047107199718126186,0.36209207568652935,0.019704947014572084,0.05157544180591972,False,0.04278788763699763,1.2053748070826404,1.0100464767957016,0.17953206208112885,0.010963065357178154,0.17587370595358928,0.005294471292293427,0.0036583561275395637,False,0.00959986331990412,0.3810841889753178,0.3004915343354544,3.0226578285588244,0.11495964919162353,3.054890236052417,0.05599932988420328,-0.032232407493592685,False,0.10039818720864101,-0.3210457119769442,-0.2520646874142052,0.04855776750924488,0.04382345330201937,0.05751839402253175,0.018328660695588778,-0.00896062651328687,False,0.03980647254430178,-0.22510476162675125,-0.18863704102305737,-0.207687552006942,0.05075648278544183,-0.1108252054617581,0.02294816100059604,-0.0968623465451839,False,0.04527253528840168,-2.13953881593194,-1.7389031349580255,,,,,,,,,,,,,,,,,,
