run_name,timestamp,nlive,ndim,N_sne,dof,logZ,logZ_err,chi2,chi2_dof,logL_max,AIC,BIC,M_hat,cosmo_type,sn_colour_model,x1_correction_model,mass_model,host_colour_model,ssfr_model,z_evolve_model,zlo,zhi,x1_range,c_range,idsurvey,mass_cut,host_quality_cut,obs_z_type,active_params,prior_overrides,n_gh_nodes,host_colour_err,ssfr_err_max,host_var_penalty,alpha_mean,beta_mean,gamma_mean,Om0_mean,alpha_std,beta_std,gamma_std,Om0_std,sn_tau_mean,sn_tau_std,gamma_alpha_mean,gamma_alpha_std,zeta_mean,zeta_std
combo/loo_zbin_mass_linear_b00,2026-09-05T10:56:51,2000,4,1365,1361,-334.137,0.051,1004.659,0.7382,-326.9707,661.941,682.817,-28.66859,FlatLambdaCDM,linear,linear,linear,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17688,3.10568,0.08554,0.33175,0.00685,0.06464,0.02033,0.02262,,,,,,
combo/loo_zbin_mass_linear_b03,2026-09-05T11:00:07,2000,4,1365,1361,-376.978,0.053,1413.872,1.0388,-369.572,747.144,768.02,-28.66807,FlatLambdaCDM,linear,linear,linear,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17701,3.1189,0.10172,0.33133,0.00595,0.06513,0.01785,0.0183,,,,,,
combo/loo_zbin_mass_step_b00,2026-09-05T11:00:09,2000,4,1365,1361,-337.943,0.053,1010.975,0.7428,-330.1285,668.257,689.133,-28.65598,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17468,3.1057,0.05084,0.33921,0.00675,0.06426,0.01538,0.02187,,,,,,
combo/host_qual_mass_linear_strict,2026-09-05T11:01:56,2000,4,1369,1365,-544.112,0.054,1451.096,1.0631,-535.8496,1079.699,1100.587,-28.62701,FlatLambdaCDM,linear,linear,linear,none,none,power,,,None,None,False,all,strict,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.1814,3.13692,0.12616,0.34793,0.00669,0.06467,0.01971,0.02061,,,,,,
combo/loo_zbin_mass_linear_b01,2026-09-05T11:03:33,2000,4,1365,1361,-281.699,0.054,1252.959,0.9206,-274.0696,556.139,577.015,-28.6891,FlatLambdaCDM,linear,linear,linear,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.1746,3.06931,0.1205,0.33288,0.00586,0.06357,0.01807,0.0152,,,,,,
combo/loo_zbin_mass_linear_b02,2026-09-05T11:05:00,2000,4,1365,1361,-359.33,0.054,1402.202,1.0303,-351.5812,711.162,732.038,-28.67094,FlatLambdaCDM,linear,linear,linear,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17342,3.10814,0.10048,0.33511,0.00598,0.06278,0.01787,0.01626,,,,,,
combo/loo_zbin_mass_step_b03,2026-09-05T11:05:08,2000,4,1365,1361,-384.241,0.054,1427.823,1.0491,-376.5475,761.095,781.971,-28.66954,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.1744,3.1094,0.06205,0.33325,0.00604,0.06505,0.01423,0.01843,,,,,,
combo/loo_zbin_mass_step_b01,2026-09-05T11:06:23,2000,4,1365,1361,-291.382,0.055,1271.441,0.9342,-283.3106,574.621,595.497,-28.68383,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.1719,3.06823,0.07292,0.34088,0.00598,0.06324,0.01468,0.01576,,,,,,
combo/loo_zbin_mass_step_b02,2026-09-05T11:06:39,2000,4,1365,1361,-366.215,0.056,1415.2,1.0398,-358.0804,724.161,745.036,-28.66562,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17085,3.10704,0.06239,0.34178,0.00601,0.06299,0.01443,0.01601,,,,,,
combo/host_qual_mass_step_strict,2026-09-05T11:08:23,2000,4,1369,1365,-552.004,0.057,1464.197,1.0727,-542.3998,1092.8,1113.687,-28.61207,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,strict,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17863,3.13523,0.07732,0.35759,0.00669,0.0648,0.01528,0.02061,,,,,,
