run_name,timestamp,nlive,ndim,N_sne,dof,logZ,logZ_err,chi2,chi2_dof,logL_max,AIC,BIC,M_hat,cosmo_type,sn_colour_model,x1_correction_model,mass_model,host_colour_model,ssfr_model,z_evolve_model,zlo,zhi,x1_range,c_range,idsurvey,mass_cut,host_quality_cut,obs_z_type,active_params,prior_overrides,n_gh_nodes,host_colour_err,ssfr_err_max,host_var_penalty,alpha_mean,beta_mean,gamma_mean,Om0_mean,alpha_std,beta_std,gamma_std,Om0_std,gamma_alpha_mean,gamma_alpha_std,sn_tau_mean,sn_tau_std,zeta_mean,zeta_std
combo/drilling_03_mass_linear,2026-09-05T10:07:13,2000,4,240,236,-78.349,0.037,240.061,1.0172,-73.8068,155.614,169.536,-28.6913,FlatLambdaCDM,linear,linear,linear,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,Om0:uniform,40,logmass/0.70,,False,0.1801,3.01323,-0.00811,0.38466,0.01472,0.15443,0.04564,0.0664,,,,,,
combo/drilling_03_mass_step,2026-09-05T10:08:32,2000,4,240,236,-78.689,0.04,239.877,1.0164,-73.7147,155.429,169.352,-28.69294,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,Om0:uniform,40,logmass/0.70,,False,0.18324,3.01344,0.0154,0.38277,0.01481,0.15675,0.03453,0.06627,,,,,,
combo/drilling_02_mass_linear,2026-09-05T10:10:49,2000,4,283,279,-75.828,0.039,201.276,0.7214,-70.9168,149.834,164.415,-28.63721,FlatLambdaCDM,linear,linear,linear,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,Om0:uniform,40,logmass/0.70,,False,0.19753,3.21265,0.08438,0.34692,0.01419,0.14116,0.04251,0.06805,,,,,,
combo/drilling_02_mass_step,2026-09-05T10:12:55,2000,4,283,279,-77.221,0.041,203.529,0.7295,-72.0432,152.086,166.668,-28.62686,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,Om0:uniform,40,logmass/0.70,,False,0.1949,3.21351,0.04448,0.35572,0.01458,0.14203,0.03464,0.06841,,,,,,
combo/drilling_01_mass_linear,2026-09-05T10:19:40,2000,4,520,516,-246.355,0.045,539.416,1.0454,-240.5012,489.002,506.018,-28.63732,FlatLambdaCDM,linear,linear,linear,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,Om0:uniform,40,logmass/0.70,,False,0.17771,3.06762,0.16416,0.39815,0.01077,0.11407,0.03294,0.04898,,,,,,
combo/drilling_01_mass_step,2026-09-05T10:21:12,2000,4,520,516,-249.837,0.047,545.769,1.0577,-243.6776,495.355,512.371,-28.62004,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,Om0:uniform,40,logmass/0.70,,False,0.17505,3.0824,0.10815,0.41595,0.01074,0.11368,0.02539,0.04579,,,,,,
combo/drilling_00_mass_linear,2026-09-05T10:23:47,2000,4,580,576,-182.775,0.047,585.986,1.0173,-176.5027,361.005,378.458,-28.62235,FlatLambdaCDM,linear,linear,linear,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,Om0:uniform,40,logmass/0.70,,False,0.17161,3.12491,0.11516,0.39491,0.01039,0.09464,0.02983,0.04685,,,,,,
combo/drilling_03_mass_linear_interaction_gammaalpha,2026-09-05T10:24:13,2500,5,240,235,-79.341,0.039,240.052,1.0215,-73.802,157.604,175.007,-28.69289,FlatLambdaCDM,linear,linear,linear,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0|gamma_alpha,Om0:uniform,40,logmass/0.70,,False,0.18105,3.01637,-0.00379,0.38413,0.01474,0.15447,0.0321,0.06598,-0.09457,3.48488,,,,
combo/drilling_00_mass_step,2026-09-05T10:24:15,2000,4,580,576,-186.976,0.048,594.0,1.0312,-180.5096,369.019,386.471,-28.6089,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,Om0:uniform,40,logmass/0.70,,False,0.16765,3.10947,0.06439,0.41738,0.01037,0.0942,0.02459,0.04385,,,,,,
combo/drilling_02_mass_linear_interaction_gammaalpha,2026-09-05T10:32:58,2500,5,283,278,-77.288,0.042,200.199,0.7201,-70.3783,150.757,168.984,-28.63054,FlatLambdaCDM,linear,linear,linear,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0|gamma_alpha,Om0:uniform,40,logmass/0.70,,False,0.19939,3.19989,0.06701,0.35519,0.01536,0.14216,0.04547,0.06815,-0.42398,2.0074,,,,
combo/drilling_03_mass_linear_sncolour_softbroken_sntau,2026-09-05T10:33:09,2500,5,240,235,-79.831,0.041,239.909,1.0209,-73.7306,157.461,174.864,-28.65983,FlatLambdaCDM,softbroken,linear,linear,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0|sn_tau,Om0:uniform,40,logmass/0.70,,False,0.17975,3.52679,-0.0023,0.39412,0.01467,0.39809,0.04619,0.06474,,,1.98787,1.11742,,
combo/drilling_03_mass_linear_ssfr_tanh,2026-09-05T10:36:26,2500,5,240,235,-77.129,0.046,232.15,0.9879,-69.8511,149.702,167.105,-28.76984,FlatLambdaCDM,linear,linear,linear,none,tanh,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0|zeta,Om0:uniform,40,logmass/0.70,,False,0.18449,2.98493,-0.09719,0.371,0.01464,0.15468,0.0521,0.06824,,,,,-0.19855,0.07219
combo/drilling_02_mass_linear_sncolour_softbroken_sntau,2026-09-05T10:37:21,2500,5,283,278,-77.197,0.044,200.008,0.7195,-70.2827,150.565,168.793,-28.47312,FlatLambdaCDM,softbroken,linear,linear,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0|sn_tau,Om0:uniform,40,logmass/0.70,,False,0.1965,3.66039,0.08605,0.35433,0.01441,0.28688,0.04318,0.06811,,,2.24608,0.90307,,
combo/drilling_02_mass_linear_ssfr_tanh,2026-09-05T10:44:35,2500,5,283,278,-77.209,0.046,198.717,0.7148,-69.6375,149.275,167.502,-28.66624,FlatLambdaCDM,linear,linear,linear,none,tanh,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0|zeta,Om0:uniform,40,logmass/0.70,,False,0.1992,3.18597,0.03796,0.34707,0.01437,0.14214,0.05136,0.0683,,,,,-0.09853,0.06302
combo/drilling_01_mass_linear_sncolour_softbroken_sntau,2026-09-05T10:50:45,2500,5,520,515,-246.929,0.047,536.277,1.0413,-238.932,487.864,509.133,-28.41904,FlatLambdaCDM,softbroken,linear,linear,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0|sn_tau,Om0:uniform,40,logmass/0.70,,False,0.17675,3.6013,0.16514,0.40528,0.01084,0.31043,0.03305,0.04804,,,2.00771,0.91071,,
combo/drilling_01_mass_linear_interaction_gammaalpha,2026-09-05T10:54:02,2500,5,520,515,-246.493,0.051,533.774,1.0365,-237.6805,485.361,506.63,-28.63077,FlatLambdaCDM,linear,linear,linear,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0|gamma_alpha,Om0:uniform,40,logmass/0.70,,False,0.19165,3.05447,0.15743,0.40452,0.01256,0.11386,0.03351,0.04821,-0.48106,0.25217,,,,
combo/drilling_00_mass_linear_interaction_gammaalpha,2026-09-05T10:56:36,2500,5,580,575,-184.785,0.051,584.702,1.0169,-175.8606,361.721,383.536,-28.61346,FlatLambdaCDM,linear,linear,linear,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0|gamma_alpha,Om0:uniform,40,logmass/0.70,,False,0.17681,3.11722,0.11219,0.39973,0.01175,0.09431,0.03143,0.04608,-0.28184,0.32756,,,,
combo/drilling_03_mass_linear_sncolour_softbroken_sntau_interaction_gammaalpha,2026-09-05T10:59:17,3000,6,240,234,-80.787,0.041,239.903,1.0252,-73.7277,159.455,180.339,-28.68611,FlatLambdaCDM,softbroken,linear,linear,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0|gamma_alpha|sn_tau,Om0:uniform,40,logmass/0.70,,False,0.18029,3.50886,-0.00078,0.39241,0.01469,0.37026,0.03159,0.06408,-0.10485,3.54733,2.03294,1.08196,,
