run_name,param,prior_type,prior_mu,prior_sigma,post_mean,post_std,shrinkage,pull,flag
host_col_model/host_colour_broken_mass_step_inter_only_M0,M0,truncated_gaussian,10.0,0.4,10.51398,0.58159,-0.454,1.285,prior_dominated
host_col_model/host_colour_broken_mass_sigmoid_inter_M0,M0,truncated_gaussian,10.0,0.4,10.36222,0.557,-0.3925,0.9056,prior_dominated
host_col_model/host_colour_sigmoid_mass_sigmoid_inter_M0,M0,truncated_gaussian,10.0,0.4,10.27655,0.54575,-0.3644,0.6914,prior_dominated
host_col_model/host_colour_linear_mass_sigmoid_inter_M0,M0,truncated_gaussian,10.0,0.4,10.3125,0.54376,-0.3594,0.7812,prior_dominated
host_col_model/host_colour_asymm_mass_sigmoid_inter_M0,M0,truncated_gaussian,10.0,0.4,10.38955,0.5381,-0.3453,0.9739,prior_dominated
host_col_model/host_colour_tanh_mass_sigmoid_inter_M0,M0,truncated_gaussian,10.0,0.4,10.14135,0.52876,-0.3219,0.3534,prior_dominated
host_col_model/host_colour_asymm_mass_step_inter_only_M0,M0,truncated_gaussian,10.0,0.4,10.60874,0.52025,-0.3006,1.5218,prior_dominated
host_col_model/host_colour_broken_mass_tanh_inter_only_M0,M0,truncated_gaussian,10.0,0.4,10.66181,0.49741,-0.2435,1.6545,prior_dominated
host_col_model/host_colour_asymm_mass_sigmoid_inter_only_M0,M0,truncated_gaussian,10.0,0.4,10.66717,0.49523,-0.2381,1.6679,prior_dominated
ssfr/ssfr_full_expansion_F0M0,M0,truncated_gaussian,10.0,0.4,9.71309,0.49209,-0.2302,-0.7173,prior_dominated
mass/mass_step_M0,M0,truncated_gaussian,10.0,0.4,10.23604,0.47771,-0.1943,0.5901,prior_dominated
host_col_model/host_colour_broken_mass_sigmoid_inter_only_M0,M0,truncated_gaussian,10.0,0.4,10.67692,0.47676,-0.1919,1.6923,prior_dominated
ssfr/ssfr_step_masssigmoid_M0,M0,truncated_gaussian,10.0,0.4,10.0037,0.47103,-0.1776,0.0093,prior_dominated
ssfr/ssfr_step_massstep_M0,M0,truncated_gaussian,10.0,0.4,9.80267,0.4559,-0.1398,-0.4933,prior_dominated
host_col_model/host_colour_quadratic_mass_sigmoid_inter_M0,M0,truncated_gaussian,10.0,0.4,9.88565,0.45151,-0.1288,-0.2859,prior_dominated
host_col_model/host_colour_asymm_mass_tanh_inter_only_M0,M0,truncated_gaussian,10.0,0.4,10.70842,0.45081,-0.127,1.7711,prior_dominated
mass/mass_gaussian_weight_M0,M0,truncated_gaussian,10.0,0.4,10.05851,0.44319,-0.108,0.1463,prior_dominated
mass/mass_gaussian_weight_M0_tau,M0,truncated_gaussian,10.0,0.4,10.18675,0.43867,-0.0967,0.4669,prior_dominated
stretch/stretch_softbroken_x10x1tau,alpha,truncated_gaussian,0.17,0.05,0.21686,0.05483,-0.0966,0.9372,prior_dominated
mass/mass_tanh_M0,M0,truncated_gaussian,10.0,0.4,10.30573,0.42313,-0.0578,0.7643,prior_dominated
ssfr/ssfr_step_massstep_xi_sSFR_mass_M0F0,M0,truncated_gaussian,10.0,0.4,9.69409,0.41563,-0.0391,-0.7648,prior_dominated
cosmo/flatwCDM,Om0,truncated_gaussian,0.3175,0.0275,0.33407,0.02753,-0.0011,0.6025,prior_dominated
mass/mass_tanh_M0_tau,M0,truncated_gaussian,10.0,0.4,10.288,0.39556,0.0111,0.72,prior_dominated
mass/mass_sigmoid_M0,M0,truncated_gaussian,10.0,0.4,10.33454,0.39172,0.0207,0.8364,prior_dominated
sn_col_model/sncolour_dust_c0sntau,beta,truncated_gaussian,3.12,0.5,3.45214,0.4718,0.0564,0.6643,prior_dominated
mass/mass_sigmoid_M0_tau,M0,truncated_gaussian,10.0,0.4,10.22089,0.37724,0.0569,0.5522,prior_dominated
evolution/all_z_log,Om0,truncated_gaussian,0.3175,0.0275,0.33029,0.02592,0.0575,0.4651,prior_dominated
evolution/beta_z_power,Om0,truncated_gaussian,0.3175,0.0275,0.3248,0.02586,0.0596,0.2655,prior_dominated
evolution/beta_gamma_z_exp,Om0,truncated_gaussian,0.3175,0.0275,0.33118,0.02583,0.0607,0.4975,prior_dominated
evolution/all_z_power,Om0,truncated_gaussian,0.3175,0.0275,0.32922,0.02581,0.0615,0.4262,prior_dominated
evolution/all_z_exp,Om0,truncated_gaussian,0.3175,0.0275,0.32878,0.02576,0.0633,0.4102,prior_dominated
evolution/beta_gamma_z_power,Om0,truncated_gaussian,0.3175,0.0275,0.33012,0.02571,0.0651,0.4589,prior_dominated
evolution/beta_gamma_z_linear,Om0,truncated_gaussian,0.3175,0.0275,0.32743,0.02555,0.0709,0.3611,prior_dominated
evolution/beta_gamma_z_zz,Om0,truncated_gaussian,0.3175,0.0275,0.33453,0.02554,0.0713,0.6193,prior_dominated
evolution/beta_gamma_z_log,Om0,truncated_gaussian,0.3175,0.0275,0.33075,0.0255,0.0727,0.4818,prior_dominated
evolution/alpha_beta_z_power,Om0,truncated_gaussian,0.3175,0.0275,0.32392,0.02541,0.076,0.2335,prior_dominated
evolution/all_z_linear,Om0,truncated_gaussian,0.3175,0.0275,0.32671,0.0254,0.0764,0.3349,prior_dominated
evolution/beta_z_exp,Om0,truncated_gaussian,0.3175,0.0275,0.32309,0.02539,0.0767,0.2033,prior_dominated
ssfr/ssfr_step_F0_uniformF0,F0,truncated_gaussian,-10.5,0.5,-10.15709,0.46098,0.078,0.6858,prior_dominated
evolution/all_z_zz,Om0,truncated_gaussian,0.3175,0.0275,0.33295,0.02531,0.0796,0.5618,prior_dominated
evolution/alpha_beta_z_exp,Om0,truncated_gaussian,0.3175,0.0275,0.32224,0.02529,0.0804,0.1724,prior_dominated
evolution/beta_z_zz,Om0,truncated_gaussian,0.3175,0.0275,0.32899,0.02528,0.0807,0.4178,prior_dominated
evolution/alpha_beta_z_log,Om0,truncated_gaussian,0.3175,0.0275,0.32566,0.02525,0.0818,0.2967,prior_dominated
cosmo/nonflatLCDM,Ode0,truncated_gaussian,0.6824,0.0275,0.66829,0.02523,0.0825,-0.5131,prior_dominated
evolution/alpha_beta_z_linear,Om0,truncated_gaussian,0.3175,0.0275,0.32212,0.02522,0.0829,0.168,prior_dominated
evolution/beta_z_linear,Om0,truncated_gaussian,0.3175,0.0275,0.32268,0.02507,0.0884,0.1884,prior_dominated
evolution/alpha_beta_z_zz,Om0,truncated_gaussian,0.3175,0.0275,0.32896,0.02502,0.0902,0.4167,prior_dominated
evolution/beta_z_log,Om0,truncated_gaussian,0.3175,0.0275,0.32577,0.02481,0.0978,0.3007,prior_dominated
sn_col_model/sncolour_softbroken_c0_sntau,beta,truncated_gaussian,3.12,0.5,3.20003,0.44085,0.1183,0.1601,prior_dominated
host_col_model/host_colour_sigmoid_mass_step_inter_only_M0,M0,truncated_gaussian,10.0,0.4,10.77835,0.3506,0.1235,1.9459,prior_dominated
sn_col_model/sncolour_dust_sntau,beta,truncated_gaussian,3.12,0.5,3.74529,0.40504,0.1899,1.2506,prior_dominated
ssfr/ssfr_sigmoid_F0ftau_uniformftau,F0,truncated_gaussian,-10.5,0.5,-10.44085,0.40475,0.1905,0.1183,prior_dominated
cosmo/nonflatLCDM,Om0,truncated_gaussian,0.3175,0.0275,0.35151,0.02098,0.2371,1.2367,
evolution/all_z_step,Om0,truncated_gaussian,0.3175,0.0275,0.33516,0.02057,0.252,0.6422,
ssfr/ssfr_smooth_F0_sigmoid_wide_ftau,F0,truncated_gaussian,-10.5,0.5,-10.41477,0.37084,0.2583,0.1705,
evolution/gamma_z_exp,Om0,truncated_gaussian,0.3175,0.0275,0.35911,0.02025,0.2636,1.5131,
evolution/alpha_beta_z_step,Om0,truncated_gaussian,0.3175,0.0275,0.33199,0.02025,0.2636,0.5269,
evolution/beta_z_step,Om0,truncated_gaussian,0.3175,0.0275,0.33176,0.02022,0.2647,0.5185,
evolution/beta_gamma_z_step,Om0,truncated_gaussian,0.3175,0.0275,0.33556,0.02018,0.2662,0.6567,
mass/mass_doublestep_M0_M1,M0,truncated_gaussian,10.0,0.4,9.64047,0.29231,0.2692,-0.8988,
stretch/stretch_doublebroken_x1tau,alpha,truncated_gaussian,0.17,0.05,0.18744,0.03593,0.2814,0.3488,
evolution/gamma_z_power,Om0,truncated_gaussian,0.3175,0.0275,0.35908,0.01972,0.2829,1.512,
evolution/gamma_z_linear,Om0,truncated_gaussian,0.3175,0.0275,0.35696,0.01946,0.2924,1.4349,
cosmo/Om0_free,Om0,truncated_gaussian,0.3175,0.0275,0.36768,0.01934,0.2967,1.8247,
evolution/gamma_z_zz,Om0,truncated_gaussian,0.3175,0.0275,0.35937,0.01924,0.3004,1.5225,
evolution/gamma_z_log,Om0,truncated_gaussian,0.3175,0.0275,0.35659,0.01883,0.3153,1.4215,
ssfr/ssfr_sigmoid_F0ftau,F0,truncated_gaussian,-10.5,0.5,-10.38609,0.33643,0.3271,0.2278,
host_col_model/host_colour_sigmoid_mass_sigmoid_inter_only_M0,M0,truncated_gaussian,10.0,0.4,10.84498,0.26567,0.3358,2.1124,
evolution/gamma_z_step,Om0,truncated_gaussian,0.3175,0.0275,0.35317,0.01821,0.3378,1.2971,
ssfr/ssfr_sigmoid_F0,F0,truncated_gaussian,-10.5,0.5,-10.46227,0.32808,0.3438,0.0755,
ssfr/ssfr_tanh_F0ftau_uniformftau,F0,truncated_gaussian,-10.5,0.5,-10.26156,0.30863,0.3827,0.4769,
host_col_model/host_colour_linear_mass_sigmoid_inter_M0,Om0,truncated_gaussian,0.3175,0.0275,0.3497,0.01649,0.4004,1.1709,
host_col_model/host_colour_linear_mass_linear_inter,Om0,truncated_gaussian,0.3175,0.0275,0.34568,0.01631,0.4069,1.0247,
host_col_model/host_colour_asymm_mass_sigmoid_inter_tau,Om0,truncated_gaussian,0.3175,0.0275,0.34672,0.01631,0.4069,1.0625,
ssfr/ssfr_full_expansion_F0M0,Om0,truncated_gaussian,0.3175,0.0275,0.35019,0.01631,0.4069,1.1887,
host_col_model/host_colour_sigmoid_mass_linear_inter,Om0,truncated_gaussian,0.3175,0.0275,0.34593,0.01631,0.4069,1.0338,
host_col_model/host_colour_asymm_mass_step_inter_only_M0,Om0,truncated_gaussian,0.3175,0.0275,0.34957,0.0163,0.4073,1.1662,
ssfr/ssfr_step_hcol_sigmoid_xi_sSFR_col,Om0,truncated_gaussian,0.3175,0.0275,0.3564,0.01628,0.408,1.4145,
host_col_model/host_colour_tanh_mass_linear_inter,Om0,truncated_gaussian,0.3175,0.0275,0.3446,0.01628,0.408,0.9855,
host_col_model/host_colour_sigmoid_mass_step_inter_only_M0,Om0,truncated_gaussian,0.3175,0.0275,0.35071,0.01627,0.4084,1.2076,
ssfr/ssfr_smooth_F0_step_broadF0,F0,truncated_gaussian,-10.5,0.5,-10.10975,0.29543,0.4091,0.7805,
ssfr/ssfr_sigmoid_massstep_hcol_linear_F0ftau,Om0,truncated_gaussian,0.3175,0.0275,0.35517,0.01624,0.4095,1.3698,
host_col_model/host_colour_sigmoid_mass_sigmoid_inter_tau,Om0,truncated_gaussian,0.3175,0.0275,0.34709,0.01624,0.4095,1.076,
ssfr/ssfr_sigmoid_nomass_F0ftau,F0,truncated_gaussian,-10.5,0.5,-10.29435,0.29512,0.4098,0.4113,
ssfr/ssfr_full_expansion,Om0,truncated_gaussian,0.3175,0.0275,0.35715,0.01622,0.4102,1.4418,
host_col_model/host_colour_asymm_mass_linear,Om0,truncated_gaussian,0.3175,0.0275,0.34712,0.0162,0.4109,1.0771,
host_col_model/host_colour_broken_mass_linear,Om0,truncated_gaussian,0.3175,0.0275,0.34753,0.01619,0.4113,1.092,
ssfr/ssfr_xi_sSFR_mass_xi_sSFR_col,Om0,truncated_gaussian,0.3175,0.0275,0.35619,0.01619,0.4113,1.4069,
ssfr/ssfr_xi_sSFR_mass_FSmassstep,Om0,truncated_gaussian,0.3175,0.0275,0.35623,0.01618,0.4116,1.4084,
ssfr/ssfr_step_hcol_asymm_xi_sSFR_col,Om0,truncated_gaussian,0.3175,0.0275,0.35767,0.01618,0.4116,1.4607,
ssfr/ssfr_step_massstep_hcol_tanh_F0,Om0,truncated_gaussian,0.3175,0.0275,0.34779,0.01617,0.412,1.1015,
host_col_model/host_colour_broken_mass_sigmoid_inter,Om0,truncated_gaussian,0.3175,0.0275,0.35104,0.01616,0.4124,1.2196,
host_col_model/host_colour_broken_mass_sigmoid_inter_tau,Om0,truncated_gaussian,0.3175,0.0275,0.3475,0.01616,0.4124,1.0909,
ssfr/ssfr_full_expansion_hcol_tanh,Om0,truncated_gaussian,0.3175,0.0275,0.3533,0.01616,0.4124,1.3018,
host_col_model/host_colour_linear_mass_step_inter,Om0,truncated_gaussian,0.3175,0.0275,0.35568,0.01616,0.4124,1.3884,
ssfr/ssfr_tanh_massstep_hcol_linear_F0ftau,Om0,truncated_gaussian,0.3175,0.0275,0.35446,0.01615,0.4127,1.344,
ssfr/ssfr_step_hcol_tanh_xi_sSFR_col,Om0,truncated_gaussian,0.3175,0.0275,0.35528,0.01614,0.4131,1.3738,
host_col_model/host_colour_linear_mass_linear,Om0,truncated_gaussian,0.3175,0.0275,0.34689,0.01613,0.4135,1.0687,
host_col_model/host_colour_broken_mass_linear_inter,Om0,truncated_gaussian,0.3175,0.0275,0.34675,0.01613,0.4135,1.0636,
ssfr/ssfr_step_hcol_linear_xi_sSFR_col,Om0,truncated_gaussian,0.3175,0.0275,0.35772,0.01613,0.4135,1.4625,
ssfr/ssfr_tanh_hcol_linear,Om0,truncated_gaussian,0.3175,0.0275,0.35714,0.01612,0.4138,1.4415,
host_col_model/host_colour_linear_mass_sigmoid_inter,Om0,truncated_gaussian,0.3175,0.0275,0.35093,0.01612,0.4138,1.2156,
ssfr/ssfr_xi_sSFR_col_FH_hcol_tanh,Om0,truncated_gaussian,0.3175,0.0275,0.35518,0.01612,0.4138,1.3702,
host_col_model/host_colour_asymm_mass_linear_inter,Om0,truncated_gaussian,0.3175,0.0275,0.34613,0.01611,0.4142,1.0411,
ssfr/ssfr_step_massstep_hcol_linear,Om0,truncated_gaussian,0.3175,0.0275,0.35765,0.0161,0.4145,1.46,
host_col_model/host_colour_sigmoid_doublemass_step,Om0,truncated_gaussian,0.3175,0.0275,0.34871,0.0161,0.4145,1.1349,
host_col_model/host_colour_sigmoid_mass_linear,Om0,truncated_gaussian,0.3175,0.0275,0.3473,0.01609,0.4149,1.0836,
ssfr/ssfr_smooth_F0_tanh_wide_ftau,F0,truncated_gaussian,-10.5,0.5,-10.24704,0.29249,0.415,0.5059,
host_col_model/host_colour_linear_doublemass_step,Om0,truncated_gaussian,0.3175,0.0275,0.34874,0.01608,0.4153,1.136,
host_col_model/host_colour_tanh_mass_sigmoid_inter_tau,Om0,truncated_gaussian,0.3175,0.0275,0.34539,0.01608,0.4153,1.0142,
host_col_model/host_colour_broken_mass_step_inter,Om0,truncated_gaussian,0.3175,0.0275,0.35605,0.01608,0.4153,1.4018,
host_col_model/host_colour_quadratic_doublemass_step,Om0,truncated_gaussian,0.3175,0.0275,0.34448,0.01607,0.4156,0.9811,
host_col_model/host_colour_broken_doublemass_step,Om0,truncated_gaussian,0.3175,0.0275,0.34915,0.01607,0.4156,1.1509,
host_col_model/host_colour_asymm_mass_sigmoid_inter,Om0,truncated_gaussian,0.3175,0.0275,0.35046,0.01607,0.4156,1.1985,
host_col_model/host_colour_quadratic_mass_step,Om0,truncated_gaussian,0.3175,0.0275,0.35332,0.01605,0.4164,1.3025,
ssfr/ssfr_tanh_massstep_hcol_linear,Om0,truncated_gaussian,0.3175,0.0275,0.3571,0.01604,0.4167,1.44,
host_col_model/host_colour_sigmoid_mass_sigmoid_inter,Om0,truncated_gaussian,0.3175,0.0275,0.35082,0.01604,0.4167,1.2116,
host_col_model/host_colour_sigmoid_mass_step_inter,Om0,truncated_gaussian,0.3175,0.0275,0.35578,0.01604,0.4167,1.392,
host_col_model/host_colour_asymm_mass_step_inter,Om0,truncated_gaussian,0.3175,0.0275,0.35647,0.01604,0.4167,1.4171,
ssfr/ssfr_tanh_massstep_hcol_tanh,Om0,truncated_gaussian,0.3175,0.0275,0.35545,0.01604,0.4167,1.38,
host_col_model/host_colour_tanh_mass_linear,Om0,truncated_gaussian,0.3175,0.0275,0.3462,0.01604,0.4167,1.0436,
ssfr/ssfr_step_massstep_hcol_linear_xi,Om0,truncated_gaussian,0.3175,0.0275,0.35802,0.01604,0.4167,1.4735,
ssfr/ssfr_omega_FSH,Om0,truncated_gaussian,0.3175,0.0275,0.3563,0.01603,0.4171,1.4109,
ssfr/ssfr_step_masslinear_xi_sSFR_mass,Om0,truncated_gaussian,0.3175,0.0275,0.35456,0.01602,0.4175,1.3476,
ssfr/ssfr_tanh_hcol_linear_xi_sSFR_col,Om0,truncated_gaussian,0.3175,0.0275,0.35681,0.01602,0.4175,1.4295,
host_col_model/host_colour_tanh_doublemass_step,Om0,truncated_gaussian,0.3175,0.0275,0.34771,0.01602,0.4175,1.0985,
host_col_model/host_colour_asymm_mass_step_htau,Om0,truncated_gaussian,0.3175,0.0275,0.35681,0.01602,0.4175,1.4295,
