run_name,timestamp,nlive,ndim,N_sne,dof,logZ,logZ_err,chi2,chi2_dof,logL_max,AIC,BIC,M_hat,cosmo_type,sn_colour_model,x1_correction_model,mass_model,host_colour_model,ssfr_model,z_evolve_model,zlo,zhi,x1_range,c_range,idsurvey,mass_cut,host_quality_cut,obs_z_type,active_params,prior_overrides,n_gh_nodes,host_colour_err,ssfr_err_max,host_var_penalty,alpha_mean,beta_mean,gamma_mean,Om0_mean,alpha_std,beta_std,gamma_std,Om0_std
z_uncert/z_003_mass_step,2026-09-06T09:18:40,2000,4,1820,1816,-469.847,0.057,1757.694,0.9679,-461.3597,930.719,952.746,-28.67498,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17079,3.09901,0.06179,0.33918,0.00517,0.05541,0.01242,0.01508
z_uncert/z_048_mass_step,2026-09-06T09:21:52,2000,4,1820,1816,-467.423,0.057,1752.72,0.9652,-458.8724,925.745,947.771,-28.66898,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17321,3.10867,0.06334,0.34161,0.00529,0.05497,0.01255,0.01509
z_uncert/z_057_mass_step,2026-09-06T09:22:08,2000,4,1820,1816,-465.837,0.058,1749.362,0.9633,-457.1936,922.387,944.413,-28.67976,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17111,3.08409,0.06255,0.34192,0.00528,0.05538,0.01257,0.01536
z_uncert/z_054_mass_step,2026-09-06T09:23:04,2000,4,1820,1816,-475.828,0.058,1769.454,0.9744,-467.2394,942.479,964.505,-28.67251,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17216,3.10164,0.05925,0.34282,0.00526,0.05451,0.01263,0.01511
z_uncert/z_007_mass_step,2026-09-06T09:23:14,2000,4,1820,1816,-459.226,0.058,1735.927,0.9559,-450.4762,908.952,930.979,-28.66946,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17338,3.09888,0.0642,0.34433,0.00527,0.05533,0.01272,0.01529
z_uncert/z_018_mass_step,2026-09-06T09:23:27,2000,4,1820,1816,-468.126,0.058,1754.008,0.9659,-459.5166,927.033,949.06,-28.67054,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17089,3.10303,0.06264,0.34178,0.00527,0.05544,0.01254,0.01514
z_uncert/z_055_mass_step,2026-09-06T09:23:44,2000,4,1820,1816,-471.183,0.057,1760.423,0.9694,-462.7241,933.448,955.475,-28.66958,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17225,3.10943,0.06517,0.33976,0.00517,0.05461,0.0125,0.0152
z_uncert/z_008_mass_step,2026-09-06T09:23:49,2000,4,1820,1816,-465.562,0.059,1748.217,0.9627,-456.6209,921.242,943.268,-28.6687,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17132,3.09156,0.06246,0.34802,0.00523,0.05524,0.01268,0.01526
z_uncert/z_077_mass_step,2026-09-06T09:24:46,2000,4,1820,1816,-480.832,0.058,1779.496,0.9799,-472.2605,952.521,974.547,-28.67106,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17319,3.10125,0.06581,0.34306,0.00521,0.05415,0.01246,0.01508
z_uncert/z_028_mass_step,2026-09-06T09:24:48,2000,4,1820,1816,-467.046,0.059,1751.134,0.9643,-458.0796,924.159,946.186,-28.67074,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17242,3.09324,0.05904,0.34697,0.00527,0.05467,0.01265,0.01527
z_uncert/z_023_mass_step,2026-09-06T09:24:54,2000,4,1820,1816,-477.597,0.057,1772.993,0.9763,-469.0091,946.018,968.044,-28.67688,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.16965,3.08604,0.05849,0.34336,0.00526,0.05535,0.01278,0.01516
z_uncert/z_059_mass_step,2026-09-06T09:24:58,2000,4,1820,1816,-474.619,0.058,1766.552,0.9728,-465.7887,939.577,961.604,-28.67026,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17039,3.09058,0.0576,0.3471,0.00528,0.0554,0.01262,0.01528
z_uncert/z_021_mass_step,2026-09-06T09:25:00,2000,4,1820,1816,-470.696,0.058,1759.054,0.9686,-462.0394,932.079,954.105,-28.67015,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17159,3.10052,0.06422,0.34254,0.00532,0.05495,0.01269,0.01541
z_uncert/z_062_mass_step,2026-09-06T09:25:14,2000,4,1820,1816,-471.566,0.058,1760.926,0.9697,-462.9754,933.951,955.977,-28.67842,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17332,3.08721,0.06247,0.3417,0.00522,0.05509,0.01266,0.01508
z_uncert/z_050_mass_step,2026-09-06T09:25:20,2000,4,1820,1816,-465.542,0.057,1749.008,0.9631,-457.0165,922.033,944.059,-28.66994,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17342,3.10527,0.06416,0.34131,0.00531,0.05531,0.01245,0.01522
z_uncert/z_002_mass_step,2026-09-06T09:25:48,2000,4,1820,1816,-472.07,0.058,1761.633,0.9701,-463.3292,934.658,956.685,-28.67612,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17165,3.08199,0.06046,0.34536,0.00524,0.05551,0.01254,0.01528
z_uncert/z_029_mass_step,2026-09-06T09:25:50,2000,4,1820,1816,-468.523,0.057,1755.048,0.9664,-460.0366,928.073,950.1,-28.67244,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17196,3.10387,0.06028,0.34047,0.00529,0.05512,0.01278,0.01526
