combo,kind,tag,realization,seed
mass_step,baseline,z_uncert/base_mass_step,-1,
mass_step,realization,z_uncert/z_000_mass_step,0,2000.0
mass_step,realization,z_uncert/z_001_mass_step,1,2001.0
mass_step,realization,z_uncert/z_002_mass_step,2,2002.0
mass_step,realization,z_uncert/z_003_mass_step,3,2003.0
mass_step,realization,z_uncert/z_004_mass_step,4,2004.0
mass_step,realization,z_uncert/z_005_mass_step,5,2005.0
mass_step,realization,z_uncert/z_006_mass_step,6,2006.0
mass_step,realization,z_uncert/z_007_mass_step,7,2007.0
mass_step,realization,z_uncert/z_008_mass_step,8,2008.0
mass_step,realization,z_uncert/z_009_mass_step,9,2009.0
mass_step,realization,z_uncert/z_010_mass_step,10,2010.0
mass_step,realization,z_uncert/z_011_mass_step,11,2011.0
mass_step,realization,z_uncert/z_012_mass_step,12,2012.0
mass_step,realization,z_uncert/z_013_mass_step,13,2013.0
mass_step,realization,z_uncert/z_014_mass_step,14,2014.0
mass_step,realization,z_uncert/z_015_mass_step,15,2015.0
mass_step,realization,z_uncert/z_016_mass_step,16,2016.0
mass_step,realization,z_uncert/z_017_mass_step,17,2017.0
mass_step,realization,z_uncert/z_018_mass_step,18,2018.0
mass_step,realization,z_uncert/z_019_mass_step,19,2019.0
mass_step,realization,z_uncert/z_020_mass_step,20,2020.0
mass_step,realization,z_uncert/z_021_mass_step,21,2021.0
mass_step,realization,z_uncert/z_022_mass_step,22,2022.0
mass_step,realization,z_uncert/z_023_mass_step,23,2023.0
mass_step,realization,z_uncert/z_024_mass_step,24,2024.0
mass_step,realization,z_uncert/z_025_mass_step,25,2025.0
mass_step,realization,z_uncert/z_026_mass_step,26,2026.0
mass_step,realization,z_uncert/z_027_mass_step,27,2027.0
mass_step,realization,z_uncert/z_028_mass_step,28,2028.0
mass_step,realization,z_uncert/z_029_mass_step,29,2029.0
mass_step,realization,z_uncert/z_030_mass_step,30,2030.0
mass_step,realization,z_uncert/z_031_mass_step,31,2031.0
mass_step,realization,z_uncert/z_032_mass_step,32,2032.0
mass_step,realization,z_uncert/z_033_mass_step,33,2033.0
mass_step,realization,z_uncert/z_034_mass_step,34,2034.0
mass_step,realization,z_uncert/z_035_mass_step,35,2035.0
mass_step,realization,z_uncert/z_036_mass_step,36,2036.0
mass_step,realization,z_uncert/z_037_mass_step,37,2037.0
mass_step,realization,z_uncert/z_038_mass_step,38,2038.0
mass_step,realization,z_uncert/z_039_mass_step,39,2039.0
mass_step,realization,z_uncert/z_040_mass_step,40,2040.0
mass_step,realization,z_uncert/z_041_mass_step,41,2041.0
mass_step,realization,z_uncert/z_042_mass_step,42,2042.0
mass_step,realization,z_uncert/z_043_mass_step,43,2043.0
mass_step,realization,z_uncert/z_044_mass_step,44,2044.0
mass_step,realization,z_uncert/z_045_mass_step,45,2045.0
mass_step,realization,z_uncert/z_046_mass_step,46,2046.0
mass_step,realization,z_uncert/z_047_mass_step,47,2047.0
mass_step,realization,z_uncert/z_048_mass_step,48,2048.0
mass_step,realization,z_uncert/z_049_mass_step,49,2049.0
mass_step,realization,z_uncert/z_050_mass_step,50,2050.0
mass_step,realization,z_uncert/z_051_mass_step,51,2051.0
mass_step,realization,z_uncert/z_052_mass_step,52,2052.0
mass_step,realization,z_uncert/z_053_mass_step,53,2053.0
mass_step,realization,z_uncert/z_054_mass_step,54,2054.0
mass_step,realization,z_uncert/z_055_mass_step,55,2055.0
mass_step,realization,z_uncert/z_056_mass_step,56,2056.0
mass_step,realization,z_uncert/z_057_mass_step,57,2057.0
mass_step,realization,z_uncert/z_058_mass_step,58,2058.0
mass_step,realization,z_uncert/z_059_mass_step,59,2059.0
mass_step,realization,z_uncert/z_060_mass_step,60,2060.0
mass_step,realization,z_uncert/z_061_mass_step,61,2061.0
mass_step,realization,z_uncert/z_062_mass_step,62,2062.0
mass_step,realization,z_uncert/z_063_mass_step,63,2063.0
mass_step,realization,z_uncert/z_064_mass_step,64,2064.0
mass_step,realization,z_uncert/z_065_mass_step,65,2065.0
mass_step,realization,z_uncert/z_066_mass_step,66,2066.0
mass_step,realization,z_uncert/z_067_mass_step,67,2067.0
mass_step,realization,z_uncert/z_068_mass_step,68,2068.0
mass_step,realization,z_uncert/z_069_mass_step,69,2069.0
mass_step,realization,z_uncert/z_070_mass_step,70,2070.0
mass_step,realization,z_uncert/z_071_mass_step,71,2071.0
mass_step,realization,z_uncert/z_072_mass_step,72,2072.0
mass_step,realization,z_uncert/z_073_mass_step,73,2073.0
mass_step,realization,z_uncert/z_074_mass_step,74,2074.0
mass_step,realization,z_uncert/z_075_mass_step,75,2075.0
mass_step,realization,z_uncert/z_076_mass_step,76,2076.0
mass_step,realization,z_uncert/z_077_mass_step,77,2077.0
mass_step,realization,z_uncert/z_078_mass_step,78,2078.0
mass_step,realization,z_uncert/z_079_mass_step,79,2079.0
